Id,Label,timeset,eigencentrality,indegree,outdegree,Degree,clustering,pageranks,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,weighted indegree,weighted outdegree,Weighted Degree,modularity_class
DUB,,,0.665233,144,144,288,0.255876,0.002,8,0.340149,0.385843,0.007176,207,207,414,1
EBJ,,,0.005149,2,2,4,0,0.000073,9,0.235528,0.249389,0,2,2,4,1
EMA,,,0.222951,57,57,114,0.220238,0.000783,9,0.296957,0.328325,0.000375,97,95,192,1
HUY,,,0.018627,4,4,8,0.833333,0.000103,9,0.280505,0.299708,0,5,5,10,1
KOI,,,0.014074,11,11,22,0.154545,0.000492,9,0.248766,0.266291,0.003451,11,11,22,0
KSU,,,0.016718,7,6,13,0.642857,0.000162,9,0.249428,0.266778,0.000001,8,7,15,1
LBA,,,0.242818,51,51,102,0.253333,0.000701,8,0.303115,0.333964,0.000134,80,80,160,1
LCY,,,0.186031,36,35,71,0.343651,0.000617,9,0.298585,0.327622,0.00133,66,62,128,1
LSI,,,0.013148,5,5,10,0.45,0.000142,9,0.248656,0.265403,0,5,5,10,1
LTN,,,0.338744,85,85,170,0.192017,0.001209,8,0.306693,0.342957,0.002049,106,108,214,1
MAN,,,0.653089,144,146,290,0.202703,0.002101,8,0.347893,0.39483,0.006886,311,316,627,1
MME,,,0.01584,2,2,4,1,0.000074,9,0.280435,0.299362,0,3,3,6,1
NCL,,,0.24724,48,49,97,0.357993,0.000662,8,0.311388,0.341732,0.000184,81,84,165,1
NWI,,,0.040422,8,8,16,0.607143,0.000161,9,0.284403,0.305537,0.000002,10,10,20,1
RIX,,,0.38821,68,68,136,0.41813,0.000993,8,0.315903,0.354508,0.00056,101,101,202,1
SYY,,,0.012978,5,5,10,0.15,0.000139,9,0.248546,0.265107,0.000004,5,5,10,1
WIC,,,0.007941,2,2,4,0,0.000072,9,0.240322,0.256033,0,2,2,4,1
ACA,,,0.013993,5,5,10,0.6,0.000144,10,0.270875,0.289718,0.000002,9,8,17,8
