year,Source,Target,numberacquisitions
2001,522,336,1
2001,213,532,3
2001,213,221,1
2001,336,333,7
2001,312,311,3
2001,487,523,1
2001,322,451,1
2001,445,531,1
2001,515,533,1
2001,425,423,1
2001,323,531,1
2001,236,237,5
2001,211,524,1
2001,339,331,1
2001,561,115,1
2001,517,522,1
2001,334,722,1
2001,326,332,1
2001,311,325,8
2001,211,486,3
2001,324,325,1
2001,453,621,1
2001,524,524,131
2001,325,333,6
2001,445,541,1
2001,325,622,1
2001,523,326,4
2001,523,533,1
2001,622,541,1
2001,525,485,1
2001,334,621,4
2001,541,622,1
2001,452,423,1
2001,561,213,1
2001,327,326,1
2001,511,532,2
2001,314,336,1
2001,523,113,3
2001,448,316,2
2001,492,522,1
2001,511,512,4
2001,533,533,1
2001,212,525,1
2001,424,424,28
2001,541,524,5
2001,541,923,2
2001,221,511,1
2001,334,453,2
2001,423,339,3
2001,531,313,1
2001,441,336,3
2001,327,325,1
2001,333,812,1
2001,211,333,4
2001,221,237,1
2001,213,334,3
2001,443,443,6
2001,541,323,1
2001,511,711,1
2001,441,522,1
2001,325,424,10
2001,525,812,1
2001,486,424,1
2001,525,236,1
2001,337,337,10
2001,524,621,5
2001,331,335,1
2001,621,622,8
2001,561,511,3
2001,221,562,2
2001,331,339,1
2001,334,512,3
2001,512,624,1
2001,337,335,1
2001,325,325,145
2001,336,517,1
2001,722,512,1
2001,313,336,3
2001,334,323,1
2001,713,561,1
2001,511,515,2
2001,525,522,3
2001,321,337,2
2001,525,541,4
2001,213,237,1
2001,443,334,2
2001,531,524,1
2001,322,423,1
2001,551,551,5
2001,541,423,4
2001,561,515,1
2001,424,339,2
2001,562,541,1
2001,237,339,1
2001,326,336,3
2001,924,924,1
2001,523,512,10
2001,721,721,19
2001,621,424,3
2001,541,722,2
2001,337,334,1
2001,423,484,1
2001,238,541,1
2001,442,337,1
2001,324,213,1
2001,423,444,1
2001,238,522,1
2001,481,561,1
2001,213,486,1
2001,325,332,3
2001,211,221,3
2001,423,334,12
2001,336,711,1
2001,481,481,2
2001,425,541,1
2001,212,213,2
2001,522,325,1
2001,484,484,9
2001,324,515,2
2001,531,814,1
2001,517,515,3
2001,512,532,2
2001,453,541,2
2001,335,561,2
2001,335,622,1
2001,313,313,3
2001,722,488,1
2001,451,334,1
2001,523,446,2
2001,221,517,2
2001,337,523,1
2001,424,316,1
2001,326,314,2
2001,561,533,1
2001,523,511,17
